school_name,state_school_id,nces_id,course_id,course_name,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
COLUMBIA HIGH SCHOOL,MS-4620-4620008,280117000149,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,34,29,,,,77.7%,*,
HOLLY SPRINGS HIGH SCHOOL,MS-4720-4720004,280195000335,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,60,79,*,,*,77.7%,11,
ABERDEEN HIGH SCHOOL,MS-4820-4820008,280036000009,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),60,83,*,,,77.7%,19,
PHILADELPHIA HIGH SCHOOL,MS-5020-5020008,280360000692,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,62,55,,,,77.7%,13,
NEWTON COUNTY HIGH SCHOOL,MS-5100-5100012,280315001135,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),0,,,,,60.8%,,*
UNION HIGH SCHOOL,MS-5131-5131004,280438000825,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),22,13,*,,,>=95%,*,*
STARKVILLE HIGH SCHOOL,MS-5321-5321016,280018901451,000283,EXPLORING COMPUTER SCIENCE (CTE),63,30,*,,,>=95%,14,*
STARKVILLE HIGH SCHOOL,MS-5321-5321016,280018901451,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,30,15,*,,,>=95%,10,
NORTH PANOLA HIGH SCHOOL,MS-5411-5411016,280321000630,000283,EXPLORING COMPUTER SCIENCE (CTE),*,11,*,,,74.2%,*,
SOUTH PANOLA HIGH SCHOOL,MS-5412-5412016,280405000766,000283,EXPLORING COMPUTER SCIENCE (CTE),*,,,,,64.3%,,
PEARL RIVER CENTRAL JUNIOR HIGH,MS-5500-5500008,280354001069,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),48,42,17,*,*,62.5%,*,10
PEARL RIVER CENTRAL HIGH SCHOOL,MS-5500-5500012,280354001070,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),23,20,*,,,62.5%,*,*
PEARL RIVER CENTRAL HIGH SCHOOL,MS-5500-5500012,280354001070,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),68,36,25,,,62.5%,*,13
PERRY CENTRAL HIGH SCHOOL,MS-5600-5600014,280357001071,000283,EXPLORING COMPUTER SCIENCE (CTE),39,38,19,,,62.5%,*,*
NORTH PIKE SENIOR HIGH SCHOOL,MS-5711-5711016,280324000636,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,30,26,10,,,62.5%,*,*
North Pontotoc High School,MS-5800-5800004,280366000701,000283,EXPLORING COMPUTER SCIENCE (CTE),35,47,*,,,65.1%,18,*
North Pontotoc High School,MS-5800-5800004,280366000701,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,0,*,,,,65.1%,,
South Pontotoc High School,MS-5800-5800008,280366000703,000283,EXPLORING COMPUTER SCIENCE (CTE),*,,,*,,54.8%,,
South Pontotoc High School,MS-5800-5800008,280366000703,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,*,*,*,,,54.8%,*,
PONTOTOC HIGH SCHOOL,MS-5820-5820012,280369000706,000283,EXPLORING COMPUTER SCIENCE (CTE),*,11,,,,74.4%,*,
PONTOTOC HIGH SCHOOL,MS-5820-5820012,280369000706,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,*,*,,,,>=95%,,
M. S. PALMER HIGH SCHOOL,MS-6000-6000020,280381000730,110141,AP COMPUTER SCIENCE A,59,116,*,,,>=95%,10,*
BRANDON HIGH SCHOOL,MS-6100-6100008,280383001074,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),*,*,,,,>=95%,,
BRANDON HIGH SCHOOL,MS-6100-6100008,280383001074,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,56,113,*,,,>=95%,14,
NORTHWEST RANKIN HIGH SCHOOL,MS-6100-6100032,280383001076,110141,AP COMPUTER SCIENCE A,*,*,,,,>=95%,,
NORTHWEST RANKIN HIGH SCHOOL,MS-6100-6100032,280383001076,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,*,*,,,,>=95%,,
PEARL HIGH SCHOOL,MS-6120-6120012,280352000003,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,12,35,*,,,>=95%,*,*
MORTON HIGH SCHOOL,MS-6200-6200012,280390001184,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),55,109,*,,,>=95%,11,*
MORTON HIGH SCHOOL,MS-6200-6200012,280390001184,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,*,*,*,,,>=95%,,
SCOTT CENTRAL ATTENDANCE CENTER,MS-6200-6200016,280390000748,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,36,53,*,,,>=95%,*,*
LAKE HIGH SCHOOL,MS-6200-6200024,280390001389,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,29,61,,,,>=95%,*,
MENDENHALL HIGH SCHOOL,MS-6400-6400014,280399001086,000283,EXPLORING COMPUTER SCIENCE (CTE),*,*,,,,>=95%,,
