nces_id,ai_code,name,city,state,zip,num_teachers,num_students
130201000894,111210,ELBERT COUNTY HIGH SCHOOL,ELBERTON,GA,30635,1,15
130213002167,113052,SANDY CREEK HIGH SCHOOL,TYRONE,GA,30290,1,28
130222000956,110920,FORSYTH CENTRAL HIGH SCHOOL,CUMMING,GA,30040,1,55
130255001129,111805,CENTRAL GWINNETT HIGH SCHOOL,LAWRENCEVILLE,GA,30045,1,46
130255001980,112279,MEADOWCREEK HIGH SCHOOL,NORCROSS,GA,30093,1,19
130255003553,111140,GWINNETT SCHOOL OF MATHEMATICS- SCIENCE AND TECHNO,LAWRENCEVILLE,GA,30044,1,55
130282002130,112038,EAGLE'S LANDING HIGH SCHOOL,MCDONOUGH,GA,30253,1,24
130282002391,112043,UNION GROVE HIGH,MCDONOUGH,GA,30252,1,46
130282003414,112048,OLA HIGH SCHOOL,MCDONOUGH,GA,30252,1,29
130378001378,111965,MORGAN COUNTY HIGH SCHOOL,MADISON,GA,30650,1,38
130411002276,111695,PICKENS COUNTY HIGH SCHOOL,JASPER,GA,30143,1,57
130441001583,110860,ROCKDALE COUNTY HIGH SCHOOL,CONYERS,GA,30012,1,16
130531001732,113095,VALDOSTA HIGH SCHOOL,VALDOSTA,GA,31602,1,15
160013800944,130550,SALMON RIVER JR-SR HIGH SCHOOL,RIGGINS,ID,83549,1,6
160036000044,130042,BOISE SENIOR HIGH SCHOOL,BOISE,ID,83702,1,88
160036000047,130046,CAPITAL SENIOR HIGH SCHOOL,BOISE,ID,83704,1,78
160051000104,130073,CALDWELL SENIOR HIGH SCHOOL,CALDWELL,ID,83605,1,48
160111000203,130020,NORTH FREMONT JR-SR HIGH SCHOOL,ASHTON,ID,83420,1,6
160114000212,130215,FRUITLAND HIGH SCHOOL,FRUITLAND,ID,83619,1,8
160210000674,130389,CENTENNIAL HIGH SCHOOL,BOISE,ID,83713,1,76
160267000488,130505,POST FALLS HIGH SCHOOL,POST FALLS,ID,83877,1,15
160291000510,130600,SHELLEY SENIOR HIGH SCHOOL,SHELLEY,ID,83274,1,13
170387000075,140070,ANTIOCH COMM HIGH SCHOOL,ANTIOCH,IL,60002,1,26
170387005622,142524,LAKES COMMUNITY HIGH SCHOOL,LAKE VILLA,IL,60046,1,63
170417000117,144387,WHEELING HIGH SCHOOL,WHEELING,IL,60090,1,5
170855000486,140027,HARRY D JACOBS HIGH SCHOOL,ALGONQUIN,IL,60102,1,28
