id,Name,Scientific Name,Conservation Status,Primary Color,Diet,Image of Range,Image of Bird
23,Crested Caracara,Caracara cheriway,Least Concern,Brown,carcasses,https://www.allaboutbirds.org/guide/assets/photo/32262511-720px.jpg,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/70583361/1800
24,Dark-Eyed Junco,Junco hyemalis,Least Concern,Black,"seeds, insects",https://nhpbs.org/wild/images/darkeyedjuncomap.jpg,https://www.allaboutbirds.org/guide/assets/og/75340411-1200px.jpg
25,Double-Crested Cormorant,Phalacrocorax auritus,Least Concern,Black,fish,https://www.oiseaux.net/maps/svg/cormoran.a.aigrettes.svg,https://photofeathers.files.wordpress.com/2011/03/img_5056.jpg
26,Eastern Screech Owl,Megascops asio,Least Concern,Brown,"insects, crayfish, small mammals",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Megascops_asio_map.svg/330px-Megascops_asio_map.svg.png,https://www.ontarioparks.com/parksblog/wp-content/uploads/2015/10/canstockphoto2749376.jpg
27,Eastern Whip-Poor-Will,Antrostomus vociferus,Least Concern,Brown,flying insects,https://www.allaboutbirds.org/guide/assets/photo/32268201-720px.jpg,https://www.birdguides-cdn.com/cdn/gallery/birdguides/e4d0baee-75dc-424e-a76f-ecbfda56c1da.jpg
28,Elegant Sunbird,Aethopyga duyvenbodei,Endangered,Yellow,"insects, nectar",https://www.oiseaux.net/maps/svg/souimanga.des.sangi.svg,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/275821031/1800
29,Elegant Trogon,Trogon elegans,Least Concern,Red,"insects, fruit",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Trogon_elegans_map.svg/330px-Trogon_elegans_map.svg.png,https://www.allaboutbirds.org/guide/assets/og/75351601-1200px.jpg
30,Emperor Goose,Chen canagica,Near Threatened,Grey,"shoots, roots, berries",https://www.allaboutbirds.org/guide/assets/photo/40564731-720px.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Emperor_goose_by_Lisa_Hupp_USFWS.jpg/220px-Emperor_goose_by_Lisa_Hupp_USFWS.jpg
31,Flame Bowerbird,Sericulus ardens,Least Concern,Yellow,"fruit, insects",https://www.oiseaux.net/maps/svg/jardinier.flamboyant.svg,https://www.birdsofcolombia.org/world/Flame_Bowerbird_Male.jpg
32,Fork-Tailed Flycatcher,Tyrannus savana,Least Concern,White,flying insects,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Tyrannus_savana_map.svg/330px-Tyrannus_savana_map.svg.png,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/44495661/1800
33,Gambel's Quail,Callipepla gambelii Family: Odontophoridae,Least Concern,Blue,"insects, plants",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Callipepla_gambelii_map.svg/330px-Callipepla_gambelii_map.svg.png,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/296730461/1800
34,Golden White-Eye,Cleptornis marchei,Endangered,Yellow,"insects, fruit, nectar",https://upload.wikimedia.org/wikipedia/commons/a/ae/Northern_Mariana_Islands-CIA_WFB_Map.png,https://i2.wp.com/www.beyourownbirder.com/wp-content/uploads/2018/05/golden-white-eye.jpg?fit=670%2C300
