name_s,url_s,kind_s,codeorg_b,csedweek_b,hourofcode_b,description_t
Atlassian,https://www.atlassian.com/,infrastructure,TRUE,FALSE,TRUE,
Bugcrowd,https://www.bugcrowd.com/,infrastructure,TRUE,FALSE,TRUE,
Chef,https://www.getchef.com/,infrastructure,TRUE,FALSE,TRUE,
Cirrus Insight,https://www.cirrusinsight.com/,infrastructure,TRUE,FALSE,FALSE,
Dropbox,https://www.dropbox.com,infrastructure,TRUE,FALSE,TRUE,
EdX,https://www.edx.org/,infrastructure,TRUE,FALSE,TRUE,
GitHub,https://education.github.com,infrastructure,TRUE,FALSE,TRUE,
JetBrains,https://www.jetbrains.com,infrastructure,TRUE,FALSE,TRUE,
LastPass,https://lastpass.com/,infrastructure,TRUE,FALSE,TRUE,
New Relic,http://newrelic.com/,infrastructure,TRUE,FALSE,TRUE,
Optimizely,https://www.optimizely.com/,infrastructure,TRUE,FALSE,TRUE,
Pivotal Tracker,http://www.pivotaltracker.com/,infrastructure,TRUE,FALSE,TRUE,
Pusher,http://pusher.com,infrastructure,TRUE,FALSE,TRUE,
Salesforce,https://www.salesforce.com/,infrastructure,TRUE,FALSE,TRUE,
Sauce Labs,https://saucelabs.com/resources/case-studies/codeorg-reduced-testing-time-by-78-and-now-delivers-high-quality-code-faster-for-millions-of-students,infrastructure,TRUE,FALSE,TRUE,
Tableau,https://www.tableau.com/,infrastructure,TRUE,FALSE,TRUE,
Trello,https://trello.com,infrastructure,TRUE,FALSE,TRUE,
Typography.com,http://www.typography.com/cloud/welcome/,infrastructure,TRUE,FALSE,TRUE,
WebPurify,http://www.webpurify.com/,infrastructure,TRUE,FALSE,TRUE,
ZenDesk,https://www.zendesk.com/,infrastructure,TRUE,FALSE,TRUE,
Actua,http://www.actua.ca/,international,TRUE,FALSE,TRUE,
Adfaber,http://adfaber.org/,international,TRUE,FALSE,TRUE,
Adhyayan School,http://adhyayan.edu.np/,international,FALSE,FALSE,TRUE,
Africa Children Code,,international,FALSE,FALSE,TRUE,
Aksorn Education PLC,,international,TRUE,FALSE,TRUE,
Almooc,http://almooc.com/,international,TRUE,FALSE,TRUE,
Ara Institute of Canterbury,https://www.ara.ac.nz/,international,FALSE,FALSE,TRUE,
Be Cre8v,http://becre8v.com/,international,FALSE,FALSE,TRUE,
Bebras Challenge,http://www.bebraschallenge.org/,international,TRUE,FALSE,TRUE,
Brilliant Labs,http://brilliantlabs.com/,international,TRUE,FALSE,TRUE,
Canada Learning Code,https://www.canadalearningcode.ca/,international,TRUE,FALSE,TRUE,
Change the World,https://www.changetheworld.org.za/,international,TRUE,FALSE,TRUE,
Childrens Creativity Lab,http://creativity.rw/,international,FALSE,FALSE,TRUE,
Cini,http://www.consorzio-cini.it/,international,TRUE,FALSE,TRUE,
"Classroom Aid, Inc.",https://classroom-aid.com/,international,TRUE,FALSE,TRUE,
Clevio,http://clev.io,international,TRUE,FALSE,TRUE,
Codarica,https://twitter.com/codaricahq,international,TRUE,FALSE,TRUE,
Code Club Aotearoa,https://codeclub.nz/,international,TRUE,FALSE,TRUE,
Code en mi Cole,http://www.codenmicole.com/,international,TRUE,FALSE,TRUE,
Code for Everyone,http://code.or.jp/,international,TRUE,FALSE,TRUE,
Code4KT,http://code4kt.com.ng/,international,FALSE,FALSE,TRUE,
Codeforsu,http://www.codeforsu.com/,international,FALSE,FALSE,TRUE,
Codercub,,international,FALSE,FALSE,TRUE,
CoderDojo,http://coderdojo.com/,international,TRUE,FALSE,TRUE,
CodersGuild.Net,https://www.codersguild.net/,international,FALSE,FALSE,TRUE,
CodeTigers,https://www.codetigers.com/,international,TRUE,FALSE,TRUE,
Coding Bee Academy,https://www.codingbee.org/,international,TRUE,FALSE,TRUE,
CodingMarch,http://www.codingmarch.com/,international,FALSE,FALSE,TRUE,
Colegio Nikola Tesla,http://nikolatesla.edu.mx/,international,FALSE,FALSE,TRUE,
Czechitas,https://www.czechitas.cz/en/,international,TRUE,FALSE,TRUE,
DEPA,https://www.depa.or.th/,international,TRUE,FALSE,TRUE,
Design Thinking Society,http://designthinkingsociety.org.ge,international,TRUE,FALSE,TRUE,
DIGIT,http://digit.com.pk/,international,FALSE,FALSE,TRUE,
Educare Georgia,http://www.educaregeorgia.org/,international,TRUE,FALSE,TRUE,
EduXtra,https://www.eduxtra.com.ng/,international,FALSE,FALSE,TRUE,
Edvira,http://edvira.com,international,TRUE,FALSE,TRUE,
Excited Digital Learning,https://vimeo.com/excited,international,TRUE,FALSE,TRUE,
Fundacao Lemann,http://www.fundacaolemann.org.br/,international,TRUE,FALSE,TRUE,
Fundacion Sadosky,http://www.fundacionsadosky.org.ar/,international,TRUE,FALSE,TRUE,
Gabinete de Modernizacao das Tecnologias Educativas,http://www02.madeira-edu.pt/dre/main.aspx,international,TRUE,FALSE,TRUE,
HADINA RIMTIC,http://hadinarimtic.org/,international,FALSE,FALSE,TRUE,
IAMAI Academy,https://iamai.hk/,international,FALSE,FALSE,TRUE,
Inspiring Fifty,http://www.inspiringfifty.com/,international,TRUE,FALSE,TRUE,
Jawwal,http://www.jawwal.ps/,international,TRUE,FALSE,TRUE,
Jenga Hub,http://jengahub.com/,international,FALSE,FALSE,TRUE,
