school_name,state_school_id,nces_id,course_id,course_name
UNION HIGH SCHOOL,MI-14020-04253,261215004924,unspecified,unspecified
EWEN-TROUT CREEK CONSOLIDATED SCHOOL,MI-66045-01175,260001403877,unspecified,unspecified
FARMINGTON CENTRAL HIGH SCHOOL,MI-63200-09733,261407004371,unspecified,unspecified
FARWELL HIGH SCHOOL,MI-18020-01210,261410005058,unspecified,unspecified
FERNDALE HIGH SCHOOL,MI-63020-01222,261428005072,unspecified,unspecified
GOODRICH HIGH SCHOOL,MI-25050-01441,261632005267,unspecified,unspecified
GRAND LEDGE HIGH SCHOOL,MI-23060-01457,261641005293,unspecified,unspecified
GROSSE ILE HIGH SCHOOL,MI-82300-01511,261722005401,unspecified,unspecified
GULL LAKE GATEWAY ACADEMY,MI-39065-00910,261725008228,unspecified,unspecified
GULL LAKE HIGH SCHOOL,MI-39065-01520,261725005406,unspecified,unspecified
HAMILTON HIGH SCHOOL,MI-03100-01547,261740005416,unspecified,unspecified
HANOVER-HORTON HIGH SCHOOL,MI-38100-01561,261764005429,unspecified,unspecified
HOLLAND HIGH SCHOOL,MI-70020-01697,261842005512,unspecified,unspecified
HOPKINS HIGH SCHOOL,MI-03070-01757,261857005542,unspecified,unspecified
HOUGHTON CENTRAL HIGH SCHOOL,MI-31110-01766,262889006482,unspecified,unspecified
HUDSON AREA HIGH SCHOOL,MI-46080-01782,261881005556,unspecified,unspecified
HURON HIGH SCHOOL,MI-82340-01799,261893005567,unspecified,unspecified
LAKELAND HIGH SCHOOL,MI-63220-06491,261899005584,unspecified,unspecified
IDA HIGH SCHOOL,MI-58070-01807,261905005587,unspecified,unspecified
IONIA HIGH SCHOOL,MI-34010-01848,261925005601,unspecified,unspecified
JACKSON AREA CAREER CENTER,MI-38000-06498,268058000865,unspecified,unspecified
JONESVILLE HIGH SCHOOL,MI-30030-01973,261992005650,unspecified,unspecified
LOY NORRIX HIGH SCHOOL,MI-39010-02275,261995005663,unspecified,unspecified
KALAMAZOO AREA MATH AND SCIENCE CENTER,MI-39010-07303,261995000156,unspecified,unspecified
KENT CAREER TECH CENTER,MI-41000-06157,268062000562,unspecified,unspecified
FREDERICK V PANKOW CENTER,MI-50140-06550,262187000628,unspecified,unspecified
LELAND PUBLIC SCHOOL,MI-45020-02155,262139005849,unspecified,unspecified
JCC/LISD ACADEMY: A REGIONAL MIDDLE COLLEGE,MI-46000-00394,268068008144,unspecified,unspecified
LITCHFIELD HIGH SCHOOL,MI-30040-02237,262175005873,unspecified,unspecified
STEVENSON HIGH SCHOOL,MI-82095-00025,262184005877,unspecified,unspecified
VOLINIA OUTCOME BASE SCHOOL,MI-14050-04312,262274000121,unspecified,unspecified
MICHIGAN MATHEMATICS AND SCIENCE ACADEMY MIDDLEHIGH,MI-63924-03302,260096708813,unspecified,unspecified
NEWAYGO HIGH SCHOOL,MI-62070-02688,262532006190,unspecified,unspecified
WESTWOOD HIGH SCHOOL,MI-52015-06054,262540006202,unspecified,unspecified
OAKLAND SCHOOLS TECHNICAL CAMPUSSW,MI-63000-08814,268088001242,unspecified,unspecified
OAKLAND SCHOOLS TECHNICAL CAMPUSSE,MI-63000-08756,268088001154,unspecified,unspecified
OAKLAND SCHOOLS TECHNICAL CAMPUSNW,MI-63000-08813,268088001241,unspecified,unspecified
OAKLAND SCHOOLS TECHNICAL CAMPUSNE,MI-63000-08812,268088001240,unspecified,unspecified
STARKWEATHER ACADEMY @ FIEGEL,MI-82100-04055,262856002047,unspecified,unspecified
REESE HIGH SCHOOL,MI-79110-03173,262952006536,unspecified,unspecified
RIVERVIEW COMMUNITY HIGH SCHOOL,MI-82400-03222,262991006564,unspecified,unspecified
ROMULUS SENIOR HIGH SCHOOL,MI-82130-03260,263012006606,unspecified,unspecified
ROSEVILLE HIGH SCHOOL,MI-50030-05596,263021006628,unspecified,unspecified
SOUTH LYON EAST HIGH SCHOOL,MI-63240-09415,263225001837,unspecified,unspecified
TECHNICAL EDUCATION CENTER,MI-74000-06543,268094000717,unspecified,unspecified
ST. JOHNS HIGH SCHOOL,MI-19140-05708,263282006827,unspecified,unspecified
THORNAPPLE KELLOGG HIGH SCHOOL,MI-08050-04176,263381006924,unspecified,unspecified
TBA CAREER TECH CENTER,MI-28000-06145,268044000522,unspecified,unspecified
NILES COMMUNITY HIGH SCHOOL,MI-63150-08286,263426000675,unspecified,unspecified
VAN BUREN TECHNOLOGY CENTER,MI-80000-06546,268098500728,unspecified,unspecified
BELLEVILLE HIGH SCHOOL,MI-82430-00264,263456007030,unspecified,unspecified
CAREER PREPARATION CENTER,MI-50230-06549,263519001586,unspecified,unspecified
WAYLAND HIGH SCHOOL,MI-03040-04404,263555007169,unspecified,unspecified
WELLSPRING PREPARATORY HIGH SCHOOL,MI-41923-00293,260098108149,unspecified,unspecified
ONSTED COMMUNITY HIGH SCHOOL,MI-46110-02832,262652006295,unspecified,unspecified
JACKSON PREPARATORY & EARLY COLLEGE,MI-38900-02277,260104408497,unspecified,unspecified
ROSS BEATTY HIGH SCHOOL,MI-14010-05995,260843004397,unspecified,unspecified
MUSKEGON HIGH SCHOOL,MI-61010-02652,262484006152,unspecified,unspecified
BANGOR HIGH SCHOOL,MI-80020-00189,260387004072,unspecified,unspecified
MONTAGUE HIGH SCHOOL,MI-61180-02596,262418006100,unspecified,unspecified
BAY CITY CENTRAL HIGH SCHOOL,MI-09010-00227,260426004094,unspecified,unspecified
WEST MICHIGAN AVIATION ACADEMY,MI-41924-00325,260097708183,unspecified,unspecified
HARBOR BEACH COMMUNITY HIGH SCHOOL,MI-32060-01563,260000703856,unspecified,unspecified
BALDWIN SENIOR HIGH SCHOOL,MI-43040-00181,260381004068,unspecified,unspecified
FENTON SENIOR HIGH SCHOOL,MI-25100-05690,261425005068,unspecified,unspecified
MEDICINE AND COMMUNITY HEALTH ACADEMY AT CODY,MI-82015-00018,260110307984,unspecified,unspecified
EDSEL FORD HIGH SCHOOL,MI-82030-01092,261160004590,unspecified,unspecified
SHELBY JUNIOR HIGH SCHOOL,MI-50210-03456,263447007001,unspecified,unspecified
CARO HIGH SCHOOL,MI-79020-00529,260804004376,unspecified,unspecified
JACKSON HIGH SCHOOL,MI-38170-01870,261962005629,unspecified,unspecified
FARMINGTON HIGH SCHOOL,MI-63200-01204,261407005039,unspecified,unspecified
GAYLORD HIGH SCHOOL/VOC. BLDG.,MI-69020-01375,261573005225,unspecified,unspecified
GRANDVILLE HIGH SCHOOL,MI-41130-01463,261647005381,unspecified,unspecified
KALKASKA HIGH SCHOOL,MI-40040-01992,262005005685,unspecified,unspecified
SHELBY HIGH SCHOOL,MI-64080-03454,263132006736,unspecified,unspecified
WILLIAMSTON HIGH SCHOOL,MI-33230-07526,263642007718,unspecified,unspecified
BEAL CITY HIGH SCHOOL,MI-37040-00235,260429007510,unspecified,unspecified
ROBICHAUD SENIOR HIGH SCHOOL,MI-82240-03238,261164004621,unspecified,unspecified
LIVONIA CAREER TECHNICAL CENTER,MI-82095-05757,262184000764,unspecified,unspecified
ROCKFORD HIGH SCHOOL,MI-41210-03246,263003006588,unspecified,unspecified
ALLENDALE HIGH SCHOOL,MI-70040-05889,260255003976,unspecified,unspecified
MILFORD HIGH SCHOOL,MI-63220-01801,261899005574,unspecified,unspecified
CAPAC HIGH SCHOOL,MI-74040-00519,260780004358,unspecified,unspecified
HARBOR SPRINGS HIGH SCHOOL,MI-24020-01564,261770005432,unspecified,unspecified
NAPOLEON HIGH SCHOOL,MI-38130-02660,262496006174,unspecified,unspecified
KENOWA HILLS HIGH SCHOOL,MI-41145-02017,262028005702,unspecified,unspecified
REDFORD UNION HIGH SCHOOL,MI-82110-03167,262946006525,unspecified,unspecified
H.H. DOW HIGH SCHOOL,MI-56010-05157,262382006068,unspecified,unspecified
CREATIVE TECHNOLOGIES ACADEMY,MI-41918-08633,260020701134,unspecified,unspecified
CENTRAL HIGH SCHOOL,MI-41110-01265,261461005155,unspecified,unspecified
PICKFORD PUBLIC SCHOOLS,MI-17090-03024,262802006380,unspecified,unspecified
ADVANCED TECHNOLOGY ACADEMY,MI-63914-09910,260025507882,unspecified,unspecified
SOUTH LAKE HIGH SCHOOL,MI-50200-03520,263222006751,unspecified,unspecified
KINGSFORD HIGH SCHOOL,MI-22030-02039,260672004267,unspecified,unspecified
PORTLAND HIGH SCHOOL,MI-34110-03098,262912006497,unspecified,unspecified
SWARTZ CREEK HIGH SCHOOL,MI-25180-04111,263342006881,unspecified,unspecified
PINCONNING HIGH SCHOOL,MI-09090-03040,262817006391,unspecified,unspecified
FRANK JEANNETTE JR. HIGH SCHOOL,MI-50210-02656,263447006998,unspecified,unspecified
BARAGA AREA HIGH SCHOOL,MI-07020-00198,260399004084,unspecified,unspecified
DANSVILLE HIGH SCHOOL,MI-33040-00871,261140004572,unspecified,unspecified
WALKERVILLE PUBLIC SCHOOL,MI-64090-04336,263513007070,unspecified,unspecified
LAKEWOOD HIGH SCHOOL,MI-34090-02113,262098005774,unspecified,unspecified
MENDON MIDDLE/HIGH SCHOOL,MI-75060-02511,262352006027,unspecified,unspecified
ATHERTON JR. / SR. HIGH SCHOOL,MI-25130-00138,260354004051,unspecified,unspecified
CORUNNA HIGH SCHOOL,MI-78100-06673,261086004554,unspecified,unspecified
NORTH BRANCH HIGH SCHOOL,MI-44090-02718,262568006213,unspecified,unspecified
FOREST PARK SCHOOL,MI-36015-00847,261119004569,unspecified,unspecified
ANCHOR BAY HIGH SCHOOL,MI-50040-00089,260279003997,unspecified,unspecified
ACADEMY FOR BUSINESS AND TECHNOLOGY HIGH SCHOOL,MI-82921-08435,260016601035,unspecified,unspecified
IMLAY CITY HIGH SCHOOL,MI-44060-01811,261910005589,unspecified,unspecified
INLAND LAKES SECONDARY SCHOOL,MI-16050-01842,261917005599,unspecified,unspecified
EAST GRAND RAPIDS HIGH SCHOOL,MI-41090-01013,261248004961,unspecified,unspecified
TRI-TOWNSHIP SCHOOL,MI-21060-03151,262934006514,unspecified,unspecified
CENTRAL MONTCALM HIGH SCHOOL,MI-59125-00610,260864004412,unspecified,unspecified
CHURCHILL HIGH SCHOOL,MI-82095-04848,262184005903,unspecified,unspecified
HURON HIGH SCHOOL,MI-81010-05671,260282004032,unspecified,unspecified
PORTAGE CENTRAL HIGH SCHOOL,MI-39140-03095,262895006491,unspecified,unspecified
LINCOLN SENIOR HIGH SCHOOL,MI-81070-02187,262157005855,unspecified,unspecified
CENTRAL LAKE PUBLIC SCHOOLS,MI-05035-00609,260861004410,unspecified,unspecified
MOTT MIDDLE COLLEGE HIGH SCHOOL,MI-25080-07576,260789000507,unspecified,unspecified
WEST BLOOMFIELD HIGH SCHOOL,MI-63160-06171,263582007181,unspecified,unspecified
ROSCOMMON HIGH SCHOOL,MI-72010-05115,261583005233,unspecified,unspecified
DAVID ELLIS ACADEMY WEST,MI-82994-09710,260033307495,unspecified,unspecified
BEHAVIORAL EDUCATION CENTER,MI-80000-09764,268098507807,unspecified,unspecified
ESCANABA AREA PUBLIC HIGH SCHOOL,MI-21010-01155,261350005014,unspecified,unspecified
WEST SENIOR HIGH,MI-28010-08470,263387000838,unspecified,unspecified
IRON MOUNTAIN HIGH SCHOOL,MI-22010-03441,261941005611,unspecified,unspecified
ELK RAPIDS HIGH SCHOOL,MI-05060-00662,261305005002,unspecified,unspecified
HAMTRAMCK HIGH SCHOOL,MI-82060-01554,261752005421,unspecified,unspecified
CHASSELL K-12 SCHOOL,MI-31050-00652,260888004428,unspecified,unspecified
WATERFORD MOTT HIGH SCHOOL,MI-63300-05535,263531007150,unspecified,unspecified
WAVERLY SENIOR HIGH SCHOOL,MI-33215-04403,263552007160,unspecified,unspecified
ROCHESTER HIGH SCHOOL,MI-63260-03242,262994006573,unspecified,unspecified
CLARKSTON HIGH SCHOOL,MI-63190-00706,260990004475,unspecified,unspecified
LAINGSBURG HIGH SCHOOL,MI-78040-02071,262055005727,unspecified,unspecified
OKEMOS HIGH SCHOOL,MI-33170-02822,262628006282,unspecified,unspecified
UTICA HIGH SCHOOL,MI-50210-04267,263447007005,unspecified,unspecified
ROOSEVELT HIGH SCHOOL,MI-82170-03267,263654007252,unspecified,unspecified
BEAR LAKE HIGH SCHOOL,MI-51020-00237,260432004118,unspecified,unspecified
WHITTEMORE-PRESCOTT JR/SR HIGH SCHOOL,MI-35040-04516,263639007223,unspecified,unspecified
JENISON HIGH SCHOOL,MI-70175-06127,261983005645,unspecified,unspecified
MACKINAW CITY K-12 SCHOOL,MI-16070-02306,262226005939,unspecified,unspecified
SKYLINE HIGH SCHOOL,MI-81010-09840,260282007761,unspecified,unspecified
FRASER HIGH SCHOOL,MI-50100-01308,261482005179,unspecified,unspecified
BRONSON JR/SR HIGH SCHOOL,MI-12020-00408,260696004294,unspecified,unspecified
BAD AXE HIGH SCHOOL,MI-32010-00165,260001703918,unspecified,unspecified
GALESBURG-AUGUSTA HIGH SCHOOL,MI-39050-01352,261545005205,unspecified,unspecified
ARMADA HIGH SCHOOL,MI-50050-00119,260324004042,unspecified,unspecified
NORWAY HIGH SCHOOL,MI-22025-02784,262604006257,unspecified,unspecified
ATHENS HIGH SCHOOL,MI-63150-06393,263426006976,unspecified,unspecified
CANTON HIGH SCHOOL,MI-82100-06276,262856006421,unspecified,unspecified
OWOSSO HIGH SCHOOL,MI-78110-02924,262721006332,unspecified,unspecified
FLEXTECH HIGH SCHOOL,MI-47903-00760,260098408257,unspecified,unspecified
HERITAGE JUNIOR HIGH SCHOOL,MI-50210-06769,263447007026,unspecified,unspecified
MONTCALM AREA CAREER CENTER,MI-59000-06903,268083000223,unspecified,unspecified
HOPE OF DETROIT ACADEMY MIDDLEHIGH,MI-82957-03043,260024308799,unspecified,unspecified
MARCELLUS HIGH SCHOOL,MI-14050-05257,262274005973,unspecified,unspecified
BIG BAY DE NOC SCHOOL,MI-21065-06166,260569004202,unspecified,unspecified
