school_code,school_name
53142,The Harker School
53145,San Luis Obispo High School
53149,Tesoro High School
53158,San Marino High School
53163,Aragon High School
53165,Hillsdale High School
53169,Evergreen Valley High School
53173,Kehillah Jewish High School
53175,San Mateo High School
53180,Junipero Serra High School
53195,San Pedro High School
53197,JSerra Catholic High School
53205,San Domenico School
53215,Marin Catholic High School
53218,Dougherty Valley High School
53220,Basis Independent Fremont
53222,San Rafael High School
53229,California High School
53231,Terra Linda High School
53240,Mater Dei High School
53243,Valley High School
53252,Dos Pueblos High School
53269,Merit Academy Education of Excellence
53270,Pacific Collegiate School
53272,San Marcos High School
53275,Santa Barbara Senior High School
53280,Santa Clara High School
53297,Santa Cruz High School
53300,Santa Fe High School
53310,Saint Monica Catholic High School
53323,Windward School
53329,Piner High School
53336,Saugus High School
53338,Valley Christian High School
53341,Canyon High School
53343,Saratoga High School
53344,Prospect High School
53345,Analy High School
53360,Shafter High School
53370,Notre Dame High School
53372,Santa Susana High School
53379,Royal High School
53380,Simi Valley High School
53390,Sonoma Valley High School
53410,South Pasadena High School
53413,El Camino High School
53415,South San Francisco High School
53416,Monte Vista High School
53420,Edison Senior High School
53430,Lincoln High School
53460,Fremont High School
53462,Homestead High School
53463,Lynbrook High School
53466,Monta Vista High School
53468,Village Christian High School
53483,Developing Virtue Secondary School
53500,Templeton High School
53501,La Reina Middle High School
53502,Thousand Oaks High School
53503,Westlake High School
53510,Tomales High School
53512,Bishop Montgomery High School
53522,South High School
53530,Tranquillity High School
53533,Vanden High School
53539,Chaparral High School
53540,Tahoe Truckee High School
53545,Verdugo Hills High School
53550,Tulare Union High School
53557,Soledad High School
53565,Turlock High School
53570,Tustin High School
53586,Upland High School
53595,Vaca High School
53604,Saint Patrick-Saint Vincent High School
53608,Valencia High School
53610,Vallejo Senior High School
53615,Birmingham Community High School
53635,Van Nuys High School
53644,John Pitman High School
53647,Buena High School
53655,Ventura High School
53668,Rancho Buena Vista High School
53670,Mount Whitney High School
53676,Walnut High School
53680,Las Lomas High School
53681,Southlands Christian High School
53682,Silverado High School
53691,Foothill Technical High School
53725,Trinity High School
53737,La Quinta High School
53738,West Covina High School
53739,Westminster High School
53740,River City High School
53746,Oaks Christian School
53748,Detoledo High School
53801,El Camino Real Charter High School
53806,William Howard Taft High School
53808,Woodside High School
53820,Yucaipa High School
53836,Cal Coast Academy
53864,West Ranch High School
53868,Mission Hills High School
53871,Golden Valley High School
53880,Great Oak High School
53906,Ann Sobrato High School
53953,Pleasant Grove High School
53958,Ronald E McNair High School
53973,Vistamar School
53978,Citrus Hill High School
53983,Alliance Gertz-Ressler High School
53995,Lakeside High School
53998,Maywood Academy High School
54014,Wisdom Mission School
54038,Sierra Canyon School
54043,James Enochs High School
54056,Maranatha Christian Schools
54060,Eastside High School
54072,Olympian High School
54078,Eleanor Roosevelt High School
54083,Southern Cal Yeshiva High School
54092,California Connections Academy Southern California
54103,Xavier College Preparatory High School
54111,Ocean Grove Charter School
54112,South Sutter Charter School
54127,Stanford Online High School
54139,California Connections Academy Central
54149,Scout from University of California
54164,Tilden Preparatory School at School for Independent Learners
54166,Vista del Lago High School
54176,American Indian Public High School
54181,San Juan Hills High School
54194,Classical Academy High School
54204,Cosumnes Oaks High School
54245,University Preparatory Academy
54255,Impact Academy of Arts and Technology
54284,Trinity Classical Academy
54304,Literacy First Charter School
54314,International Virtual Learning Academy
54321,Yorba Linda High School
54331,Citrus Valley High School
54344,Sky Mountain Charter School
54345,Shadow Hills High School
54351,Del Norte High School
54364,Christopher High School
54375,John C Kimball High School
54381,Felicitas and Gonzalo Mendez High School
54407,Riverside Virtual School
54412,Coliseum College Prep Academy
54474,Magnolia Science Academy-Santa Ana
54475,Magnolia Science Academy 2
54554,Pacific Academy - Irvine
54606,Grand Terrace High School
54629,Ofarrell Community Charter School
54632,Critical Design And Gaming School at A Hawkins High School
54643,Connections Academy - Ripon
54659,Academies of the Antelope Valley
54669,Horizon Prep School
54677,Hillcrest High School
54719,Cobalt Institute Of Math And Science
54720,Meira Academy
54723,E3 Civic High
54724,Orion International Academy
54732,Legend College Preparatory
54759,Areteem Institute
54764,Western Center Academy
54767,Math And Science College Preparatory
54776,BASIS Independent Silicon Valley
54786,California Connections Academy - North Bay
54813,Mountain House High School
54816,KIPP: San Francisco College Preparatory
54851,Rancho Campana High School
54891,University Prep Value High School
54927,KIPP Navigate College Prep
54952,California Connections Academy - Monterey Bay
54972,Sinica Education
54977,PVUSD Virtual Academy
54980,California Connections Academy Central Coast
60025,Alamosa High School
60057,Arvada West High School
60066,Eaglecrest High School
60075,Platte Canyon High School
60076,Overland High School
60077,Rangeview High School
60080,Basalt High School
60081,Grandview High School
60082,Regis Jesuit High School: Girls Division
60085,Bayfield High School
60095,Berthoud High School
60118,Fairview High School
60161,Jefferson Academy Secondary School
60163,Legacy High School
60193,Castle View High School
60200,Canon City Senior High School
60219,Colorado Connections Academy at Durango
60230,Cedaredge High School
60235,Center High School
60244,Discovery Canyon Campus High School
60268,Cheyenne Mountain High School
60273,Coronado High School
60296,Doherty High School
60311,Conifer High School
60316,Pine Creek High School
60319,James Irwin Charter High School
60372,Northeast Early College
60376,Denver Online High School
60400,East High School
60413,George Washington High School
60415,Holy Family High School
60435,Regis Jesuit High School: Boys Division
60455,South High School
60475,Durango High School
60499,Vail Christian High School
60515,Cherry Creek High School
60524,DSST-Conservatory Green High School
60530,Kent Denver School
60535,Saint Mary's Academy High School
60541,Colorado Connections Academy At Mapleton
60545,Erie High School
60588,Rocky Mountain High School
60590,Fort Collins High School
60598,Ridgeview Classical School
60600,J K Mullen High School
60606,Fossil Ridge High School
60607,Liberty Common High School
60630,Fruita Monument High School
60665,Glenwood Springs High School
60671,D'Evelyn Junior Senior High School
60685,Middle Park High School
60695,Grand Junction High School
60700,Grand Valley High School
60739,SkyView Academy
60741,STEM School Highlands Ranch
60747,Mountain Vista High School
60748,Rock Canyon High School
60749,Valor Christian High School
60770,Hotchkiss High School
60865,Centaurus High School
60867,Dawson School
60869,Peak to Peak Charter School
60883,Green Mountain High School
60885,Lakewood High School
60897,Warren Occupational Technical Center
60928,Arapahoe High School
60929,Heritage High School
60935,Longmont High School
60937,Niwot High School
60938,Skyline High School
60951,Mountain View High School
60952,Thompson Valley High School
60953,Silver Creek High School
60962,Mead High School
60970,Manitou Springs High School
61040,Lewis Palmer High School
61043,Bear Creek High School
61145,Paonia Senior High School
61152,Chaparral High School
61159,Legend High School
61190,Centennial High School
61203,Pueblo West High School
61205,Pueblo County High School
61230,Rifle High School
61250,Salida High School
61310,Steamboat Springs High School
61312,Steamboat Mountain School
61350,Telluride Middle High School
61354,Pinnacle Charter High School
63500,Cherry Creek Elevation
70000,Ansonia High School
70008,Avon High School
70010,Avon Old Farms School
70014,Woodland Regional High School
70020,Berlin High School
70073,Information Technology & Software Engineering High School
70076,Bristol Eastern High School
70082,Saint Paul Catholic High School
70085,Brookfield High School
70100,Cheshire High School
70120,Danbury High School
70125,Immaculate High School
70135,Killingly High School
70145,Darien High School
70160,Coginchaug Regional High School
70186,Fairfield Warde High School
70187,Fairfield Ludlowe High School
70210,Miss Porter's School
70215,Glastonbury High School
70217,Granby Memorial High School
70219,Brunswick School
70220,Convent of the Sacred Heart
70235,Greenwich Academy
70240,Greenwich High School
70255,Guilford High School
70258,Hamden Hall Country Day School
70310,Weaver High School
70315,Bulkeley High School
70330,Kent School
70335,The Hotchkiss School
70360,Wamogo Regional High School
70370,Daniel Hand High School
70395,Westover School
70398,Mercy High School
70400,Middletown High School
70423,Jonathan Law High School
70424,Joseph A Foran High School
70465,New Canaan High School
70471,Academy of Aerospace and Engineering
70476,New Fairfield High School
70525,Newington High School
70545,New Milford High School
70550,Newtown High School
70565,Tourtellotte Memorial High School
70570,North Haven High School
70580,Norwalk High School
70590,Norwich Free Academy
70607,Stonington High School
70638,Joel Barlow High School
70640,Ridgefield High School
70643,Ellington High School
70655,Salisbury School
70675,Simsbury High School
70680,Westminster School
70685,Pomperaug Regional High School
70690,Southington High School
70698,Brien McMahon High School
70700,South Windsor High School
70720,King School
70751,Westhill High School
70753,Masuk High School
70754,Edwin O Smith High School
70765,Suffield Academy
70780,Marianapolis Preparatory School
70790,Enfield High School
70795,Torrington High School
70800,Trumbull High School
70805,Farmington High School
70813,Mark T Sheehan High School
70815,Lyman Hall High School
70825,Frederick Gunn School
70880,Taft School
70887,Conard High School
70890,Kingswood-Oxford School
70896,Northwest Catholic High School
70900,Hall High School
70913,Weston High School
70915,Greens Farms Academy
70925,Wethersfield High School
70935,Windham Technical High School
70938,Wilton High School
70965,Amity Regional High School
70970,Nonnewaug High School
80000,Woodbridge High School
80005,Caesar Rodney High School
80006,First State Military Academy
80009,Odyssey Charter School
80010,Archmere Academy
80025,Delmar High School
80030,Dover High School
80040,Lake Forest High School
80070,Sanford School
80080,Cape Henlopen High School
80092,Middletown High School
80094,Appoquinimink High School
80100,Milford Senior High School
80102,MOT Charter School
80115,Newark High School
80125,William Penn High School
80126,Newark Charter School
80150,Smyrna High School
80155,Alexis I Dupont High School
80156,Concord High School
80157,Cab Calloway School of the Arts High School
80158,Brandywine High School
80164,Charter School of Wilmington
80171,Delaware Military Academy
80178,John Dickinson High School
80183,Padua Academy
80195,Salesianum School
80228,Conrad Schools Of Science
90021,Columbia Heights Education Center
90044,McKinley Technology High School
90056,Washington Leadership Academy
90075,Francis L Cardozo High School
90081,Georgetown Day High School
90085,Gonzaga College High School
90155,Saint Anselm's Abbey School
90184,KIPP DC: College Preparatory
90185,Saint John's College High School
90196,Washington Latin Public Charter School
90230,Woodrow Wilson High School
100035,Apopka High School
100046,Score Academy Boca Raton
100058,Clewiston Christian School
100084,Score Academy Coral Springs
100122,Olympic Heights Community High School
100132,Saint Andrew's School
100136,Spanish River Community High School
100148,Saint Stephens Episcopal School
100168,Katz Yeshiva High School
100175,Hernando High School
100178,High School at Donna Klein Jewish Academy
100180,Windermere High School
100194,West Boca Raton Community High School
