School Name,School Code
Mar Vista High School,51242
Montgomery High School,51239
Southwest High School,52892
Sweetwater High School,52105
San Ysidro High School,53628
Otay High School,50602
Olympian High School,54072
Sir Francis Drake High School,52770
Tamalpais High School,51975
Templeton High School,53500
North High School,53520
South High School,53522
Torrance High School,53523
West High School,53521
Vanden High School,53533
Tulare Union High School,53550
Tustin High School,53570
Arnold O Beckman High School,51267
Ukiah High School,53580
Will C Wood High School,53597
Ventura High School,53655
Rancho Buena Vista High School,53668
Mission Vista High School,54347
Walnut High School,53676
Diamond Bar High School,50748
River City High School,53740
Lincoln High School,51405
California High School,53755
La Serna High School,53756
Santa Fe High School,53300
Whittier High School,53765
Valencia High School,53608
Canyon High School,53341
William S Hart High School,52120
Saugus High School,53336
Golden Valley High School,53871
West Ranch High School,53864
Mission View Public Charter School,54178
Willows High School,53780
Pioneer High School,53861
River Valley High School,53964
Woodbridge High School,51274
Portola High School,50266
Clayton Valley Charter High School,50658
Riverside County Education Academy - Indio,50558
Magnolia Science Academy - 1 Reseda,53014
Magnolia Science Academy 3,54510
Rancho Verde High School,52056
Citrus Hill High School,53978
Orange Vista High School,50038
Saint Monica Catholic High School,53310
Notre Dame Academy High School,51730
Saint John Bosco High School,50260
La Reina Middle High School,53501
Bishop Amat Memorial High School,51362
Salesian College Preparatory,52637
Bishop O'Dowd High School,52185
Saint Francis High School,52698
Justin-Siena High School,52082
Saint Vincent De Paul High School,52455
Lutheran High School Orange County,52269
Army and Navy Academy,50470
Foothill Preparatory School,50132
Fremont Christian High School,50978
Monte Vista Christian High School,53705
Vivian Webb School,50599
Webb School of California,50599
Tri-City Christian School,53669
Western Christian Schools,53585
Rose and Alex Pilibos Armenian School,51758
Saint Francis High School,52077
Contra Costa Christian High School,51316
Saint Margaret's Episcopal School,53112
Christian High School,697001
Santa Fe Christian School,52741
Oakwood School,52042
Oaks Christian School,53746
Saint Francis High School Salesian College Prep,53716
Saint Jeanne De Lestonnac Catholic High School,697001
Torah High Schools of San Diego,51433
San Domenico School,53205
German International School of Silicon Valley,51711
Horizon Prep School,54669
Jewish Community High School of the Bay,52984
Woodcrest Christian School,52677
School For Independent Learners,52209
Calvary Chapel High School,53251
Cathedral Catholic High School,52896
Mater Dei Catholic High School,51244
Rolling Hills Preparatory School,697001
High Bluff Academy,53036
Pacific Academy,54554
Bakersfield Christian High School,50208
Holy Martyrs Armenian Ferrahian High School,50869
Milken Community High School,51727
Maranatha Christian Schools,54056
The King's Academy,51514
California Lutheran High School,53566
Bright Horizon Academy - Allied Gardens Campus,51636
Quarry Lane School,50903
Saddleback Valley Christian School,53144
City of Knowledge,52518
Cal Coast Academy,53836
Crean Lutheran High School,51298
Village Christian High School,53468
Ramona Convent Secondary School,50060
Vermont Christian School,53527
Fairmont Pvt-Preparatory Academy,50103
Harvard-Westlake School,52159
Acacia Wood School,50381
Rancho Christian High School,54418
Immaculate Heart High School And Middle School,51625
Grace Brethren High School,53383
Holy Family High School,60415
