School Code,School Name,School Address,City,Zip,State
100542,W Travis Loften High School,3000 E UNIVERSITY AVE,GAINESVILLE,32641,FL
100543,F W Buchholz High School,5510 NW 27TH AVE,GAINESVILLE,32606,FL
100544,Eastside High School,1201 SE 43RD ST,GAINESVILLE,32641,FL
100553,Oak Hall School,,,,FL
100594,Dunbar High School,3800 E EDISON AVE,FORT MYERS,33916,FL
100603,Broward Virtual School,1400 NW 44TH AVE,COCONUT CREEK,33301,FL
100609,South Fort Myers High School,14020 PLANTATION RD,FORT MYERS,33912,FL
100618,Gulf Breeze High School,675 GULF BREEZE PKWY,GULF BREEZE,32561,FL
100636,Hallandale High School,720 NW 9TH AVE,HALLANDALE BEACH,33009,FL
100662,Hialeah High School,251 E 47TH ST,HIALEAH,33013,FL
100690,South Broward High School,1901 N FEDERAL HWY,HOLLYWOOD,33020,FL
100691,Sheridan Hills Christian School,,,,FL
100701,Homestead Senior High School,2351 SE 12TH AVE,HOMESTEAD,33034,FL
100720,Citrus High School,600 W HIGHLAND BLVD,INVERNESS,34452,FL
100740,Bishop Kenny High School,,,,FL
100745,Bolles School,,,,FL
100752,Edward H White High School,1700 OLD MIDDLEBURG RD N,JACKSONVILLE,32210,FL
100758,Terry Parker High School,7301 PARKER SCHOOL RD,JACKSONVILLE,32211,FL
100761,Episcopal School of Jacksonville,,,,FL
100769,Mandarin High School,4831 GREENLAND RD,JACKSONVILLE,32258,FL
100780,Paxon School-Advanced Studies,3239 NORMAN E THAGARD BLVD,JACKSONVILLE,32254,FL
100783,Jean Ribault Senior High School,3701 WINTON DR,JACKSONVILLE,32208,FL
100796,William M Raines High School,3663 RAINES AVE,JACKSONVILLE,32209,FL
100799,Samuel W Wolfson Senior High School,M,JACKSONVILLE,32217,FL
100800,D U Fletcher High School,700 SEAGATE AVE,NEPTUNE BEACH,32266,FL
100825,Jupiter Community Senior High School,500 MILITARY TRL,JUPITER,33458,FL
100833,Keystone Heights Junior-Senior High School,900 ORCHID AVE,KEYSTONE HEIGHTS,32656,FL
100838,Mater Academy Charter High School,7901 NW 103RD ST,HIALEAH GARDENS,33016,FL
100842,Osceola County School for the Arts,3151 N ORANGE BLOSSOM TRL,KISSIMMEE,34744,FL
100845,Key West High School,2100 FLAGLER AVE,KEY WEST,33040,FL
100846,Jensen Beach High School,2875 NW GOLDENROD RD,JENSEN BEACH,34957,FL
100847,Harmony High School,3601 ARTHUR J GALLAGHER BLVD,HARMONY,34771,FL
100856,Gateway High School,93 PANTHER PAWS TRL,KISSIMMEE,34744,FL
100864,Professional and Technical High School PATHS,501 SIMPSON RD,KISSIMMEE,34744,FL
100865,LaBelle High School,4050 E COWBOY WAY,LABELLE,33935,FL
100881,Lake Mary Preparatory School,,,,FL
100883,Lake Mary High School,655 LONGWOOD LAKE MARY RD,LAKE MARY,32746,FL
100896,Mckeel Academy Of Technology,1810 PARKER ST W,LAKELAND,33815,FL
100897,Santa Fe Catholic High School,,,,FL
100913,John I Leonard High School,4701 10TH AVE N,GREENACRES,33463,FL
100925,Largo High School,410 MISSOURI AVE N,LARGO,33770,FL
100927,Pinellas Park High School,6305 118TH AVE,LARGO,33773,FL
100957,Newsome High School,16550 FISHHAWK BLVD,LITHIA,33547,FL
100960,Lyman High School,865 S RONALD REAGAN BLVD,LONGWOOD,32750,FL
100978,Doral Academy Charter High School,11100 NW 27TH ST,DORAL,33172,FL
100986,Lake Howell High School,4200 DIKE RD,WINTER PARK,32792,FL
100991,Miami Lakes Educational Center,5780 NW 158TH ST,MIAMI LAKES,33014,FL
101003,Holy Trinity Episcopal Academy,,,,FL
101009,West Shore Junior-Senior High School,250 WILDCAT ALY,MELBOURNE,32935,FL
101025,Melbourne High School,74 BULLDOG BLVD,MELBOURNE,32901,FL
101030,Interlachen High School,126 N STATE RD 315,INTERLACHEN,32148,FL
101032,Miami Country Day School,,,,FL
101047,Carrollton Sacred Heart School,,,,FL
101048,Christopher Columbus High School,,,,FL
101059,Belen Jesuit Preparatory School,,,,FL
101067,Miami Coral Park Senior High School,8865 SW 16TH ST,MIAMI,33165,FL
101075,Miami Senior High School,2450 SW 1ST ST,MIAMI,33135,FL
101097,Saint Brendan High School,,,,FL
