School Name,School Code
Brookfield High School,70085
Academy of Aerospace and Engineering,70471
The Academy of Science and Innovation,70949
Cheshire High School,70100
Bacon Academy,70110
Danbury High School,70120
Darien High School,70145
East Lyme High School,70177
Ellington High School,70643
Enfield High School,70790
Fairfield Warde High School,70186
Fairfield Ludlowe High School,70187
Farmington High School,70805
Glastonbury High School,70215
Greenwich High School,70240
Guilford High School,70255
Pathways Academy of Technology & Design,70304
Lyman Memorial High School,70340
Daniel Hand High School,70370
Middletown High School,70400
Jonathan Law High School,70423
Joseph A Foran High School,70424
Masuk High School,70753
New Britain High School,70455
New Canaan High School,70465
New Fairfield High School,70476
New Milford High School,70545
Newington High School,70525
Newtown High School,70550
North Haven High School,70570
Brien McMahon High School,70698
Norwalk High School,70580
Nonnewaug High School,70970
Pomperaug Regional High School,70685
Woodland Regional High School,70014
Amity Regional High School,70965
Northwestern Regional High School,70962
Joel Barlow High School,70638
Ridgefield High School,70640
Shelton High School,70665
Simsbury High School,70675
South Windsor High School,70700
Southington High School,70690
Westhill High School,70751
Stonington High School,70607
Suffield High School,70760
Tourtellotte Memorial High School,70565
Torrington High School,70795
Trumbull High School,70800
Watertown High School,70882
Conard High School,70887
Hall High School,70900
Weston High School,70913
Wethersfield High School,70925
Wilton High School,70938
Windsor High School,70950
Norwich Free Academy,70590
Saint Paul Catholic High School,70082
Taft School,70880
Loomis Chaffee School,70945
Madina Academy Upper School,70877
Hamden Hall Country Day School,70258
Greenwich Academy,70235
Kingswood-Oxford School,70890
Gonzaga College High School,90085
Friendship Public Charter School: Collegiate Academy,90061
Washington Latin Public Charter School,90196
Francis L Cardozo High School,90075
Woodrow Wilson High School,90230
McKinley Technology High School,90044
Columbia Heights Education Center,90021
KIPP DC: College Preparatory,90184
District of Columbia International School,90012
Washington Leadership Academy,90056
Saint John's College High School,90185
National Cathedral School,90135
Padua Academy,80183
Salesianum School,80195
Archmere Academy,80010
Sanford School,80070
Charter School of Wilmington,80164
Newark Charter School,80126
MOT Charter School,80102
Odyssey Charter School,80009
First State Military Academy,80006
Middletown High School,80092
Appoquinimink High School,80094
Cape Henlopen High School,80080
Caesar Rodney High School,80005
Newark High School,80115
William Penn High School,80125
Delmar High School,80025
Lake Forest High School,80040
Milford Senior High School,80100
Concord High School,80156
Conrad Schools Of Science,80228
John Dickinson High School,80178
Alexis I Dupont High School,80155
Christopher Columbus High School,101048
Monsignor Edward Pace High School,101271
Bishop Moore Catholic High School,101285
Bishop Kenny High School,100740
Academy of the Holy Names,101680
Holy Trinity Episcopal Academy,101003
Trinity Preparatory School,101898
Berkeley Preparatory School,101686
Maclay School,101648
Shorecrest Preparatory School,102026
Pine Crest School,100495
David Posnack Jewish Day School,101532
Montverde Academy,101185
NSU University School,100347
Northside Christian School,101521
Ransom Everglades School,101095
Scheck Hillel Community School,101234
John Carroll High School,100527
Florida Virtual High School,101541
Florida Virtual School Full-Time,102414
F W Buchholz High School,100543
Rutherford High School,101361
A Crawford Mosley High School,101357
J R Arnold High School,101607
Melbourne High School,101025
West Shore Junior-Senior High School,101009
Viera High School,102070
McArthur High School,101817
Blanche Ely High School,101430
Dillard High School,100480
Coral Springs High School,100299
Nova High School,100496
Hollywood Hills High School,100478
Deerfield Beach High School,100380
Miramar High School,101172
Cooper City High School,100286
Western High School,100476
William T McFatter Technical High School,100344
Marjory Stoneman Douglas High School,101348
Charles W Flanagan High School,101424
Pompano Beach High School,101550
Cypress Bay High School,101842
Somerset Academy High School,101843
Coral Glades High School,100332
Monarch High School,100328
Everglades High School,101807
Somerset Arts Conservatory,102138
Port Charlotte High School,101436
Charlotte Virtual School,102483
Citrus High School,100720
Lecanto High School,100944
Clay High School,100585
Ridgeview High School,101514
Fleming Island High School,101798
Barron Collier High School,101207
Gulf Coast High School,101540
Coral Gables Senior High School,100289
Miami Palmetto Senior High School,101623
North Miami Beach Senior High School,101236
South Miami Senior High School,101101
Maritime And Science Technical Academy,101161
Barbara Goleman High School,101191
Doral Academy Charter High School,100978
Mater Academy Charter High School,100838
International Studies Charter High School,101983
Robert Morgan Educational Center,101182
Miami Lakes Educational Center,100991
Ronald W Reagan Doral Senior High School,102068
Doral Performing Arts and Entertainment Academy,102069
Hialeah Gardens High School,102183
Mater Lakes Academy High School,102126
Pinecrest Preparatory Academy Charter High School,100233
TERRA Environmental Research Institute,102213
Jose Marti MAST 6-12 Academy,102398
MAST at FIU Biscayne Bay Campus,102607
Stanton College Preparatory School,100775
William M Raines High School,100796
D U Fletcher High School,100800
Mandarin High School,100769
Escambia High School,101371
Pensacola High School,101375
Matanzas High School,102007
LaBelle High School,100865
Hernando High School,100175
Hillsborough High School,101705
King Senior High School,101717
Plant Senior High School,101700
Robinson Senior High School,101728
Bloomingdale Senior High School,101778
Walter L Sickles High School,101752
Paul Wharton High School,101751
Middleton High School,101765
Spoto High School,102059
Steinbrenner High School,102192
Hillsborough Virtual School,102410
Indian River Charter High School,101790
East Ridge High School,100247
Cypress Lake High School,100509
Ida S Baker High School,100204
Dunbar High School,100594
Lawton Chiles High School,101654
Key West High School,100845
Hilliard Middle-Senior High School,100675
West Nassau County High School,100202
Fernandina Beach High School,100460
Yulee High School,102060
Niceville High School,101232
Cypress Creek High School,101248
William R Boone High School,101310
Edgewater High School,101290
Evans High School,101297
Oak Ridge High School,101298
Winter Park High School,101902
West Orange High School,101885
Apopka High School,100035
University High School,101309
Timber Creek High School,101641
Freedom High School,101801
Ocoee High School,101979
Orlando Science High School,102293
East River High School,102196
Lake Nona High School,102199
Windermere High School,100180
Saint Cloud High School,101485
Jupiter Community Senior High School,100825
Suncoast Community High School,101466
Atlantic Community High School,100420
Spanish River Community High School,100136
Olympic Heights Community High School,100122
Seminole Ridge Community High School,101994
J W Mitchell High School,101560
Wiregrass Ranch High School,102067
Pasco E-School,102630
Lakewood Senior High School,101516
Countryside High School,100264
Osceola Fundamental High School,101597
Auburndale Senior High School,100055
Mckeel Academy Of Technology,100896
Lake Region High School,100436
Q.I. Roberts JR-SR High School,102597
Pine View School,101577
Seminole High School,101565
Lyman High School,100960
Lake Brantley High School,100466
Lake Howell High School,100986
Lake Mary High School,100883
Crooms Academy of Information Technology,101557
Winter Springs High School,101905
Hagerty High School,101981
Seminole County Virtual School,102417
Deland High School,100393
Mainland High School,100355
South Walton High School,101791
Saint Thomas Aquinas High School,100475
Belen Jesuit Preparatory School,101059
Archdiocese of Miami Virtual Catholic School,101271
Bishop Verot High School,100508
Saint Stephens Episcopal School,100148
Benjamin School,101239
American Heritage School Plantation,101422
Bolles School,697001
Community School-Naples,101206
Calvary Christian Academy,100602
North Broward Preparatory School,100249
Gulliver Preparatory School,100293
Lake Mary Preparatory School,100881
Out of Door Academy,697001
Clewiston Christian School,100058
Miami Country Day School,101032
American Heritage School Boca-Delray,100426
Archbishop Edward A McCarthy High School,100577
First Academy,101316
Aquinas High School,110277
Pace Academy,110217
LaGrange Academy,111763
Piedmont Academy,112168
Stratford Academy,111961
Greater Atlanta Christian School,112278
The Westminster Schools,110256
Brookstone School,110822
Frederica Academy,110474
Augusta Preparatory Day School,110278
Woodward Academy,110797
Westminster Schools of Augusta,110302
Marist School,110195
Henry W Grady High School,110170
Frederick Douglass High School,110164
Coretta Scott King Young Women's Leadership Academy,110143
Atlanta Classical Academy Charter School,110304
Lakeview Academy,111388
Georgia Connections Academy,111141
Apalachee High School,113268
Calhoun High School,110550
Camden County High School,113285
Villa Rica High School,113130
Bowdon High School,110415
Mount Zion High School,112215
Carrollton High School,110603
Herchel V Jenkins High School,112682
Savannah Arts Academy,112696
Etowah High School,113306
Cherokee High School,110589
Woodstock High School,113309
Sequoyah High School,110590
Creekview High School,110591
River Ridge High School,113303
Clarke Central High School,110115
Lovejoy High School,111552
Walton High School,111987
North Cobb High School,110005
Wheeler High School,112010
Lassiter High School,111983
Pope High School,111998
Kennesaw Mountain High School,111739
Hillgrove High School,112431
Colquitt County High School,112190
Greenbrier High School,111258
Lakeside High School,111257
Grovetown High School,111528
Newnan High School,112250
Dalton High School,110970
Tucker High School,113050
Dunwoody High School,111152
Chamblee Charter High School,110650
Lakeside High School,110184
Arabia Mountain High School,111868
Lithia Springs High School,111836
Alexander High School,111104
Chapel Hill High School,111107
Effingham County High School,112791
South Effingham High School,111444
McIntosh High School,112360
Starr's Mill High School,111277
Sandy Creek High School,113052
Fayette County High School,111275
Whitewater High School,111279
Coosa High School,112580
Armuchee High School,110095
North Forsyth High School,110921
Forsyth Central High School,110920
South Forsyth High School,110922
West Forsyth High School,110929
Lambert High School,110927
Forsyth Virtual Academy,110931
Banneker High School,110794
Riverwood International High School,110216
Milton High School,110060
North Springs High School,111154
Roswell High School,112625
Chattahoochee High School,110146
Centennial High School,112623
Northview High School,111148
Alpharetta High School,110058
Johns Creek High School,111866
Cambridge High School,112129
Gainesville High School,111385
Glynn Academy,110475
Collins Hill High School,112862
Parkview High School,111826
Duluth High School,111150
Central Gwinnett High School,111805
Norcross High School,112280
South Gwinnett High School,112755
Berkmar High School,111825
Brookwood High School,112754
Meadowcreek High School,112279
Grayson High School,111852
