school_id,school_code,SCHNAME,City,Zip,State
360010205948,332911,Young Women's Leadership School of Astoria,Astoria,111023030,NY
360010206070,332906,Academy for Careers in Television and Film,Long Island City,111015991,NY
360010206443,331148,Energy Tech High School,Long Island City,111063203,NY
360010300962,335342,Concord High School,Staten Island,103043301,NY
360010301939,335350,Curtis High School,Staten Island,103011610,NY
360010302035,335355,New Dorp High School,Staten Island,103064996,NY
360010302850,335365,Port Richmond High School,Staten Island,103021115,NY
360010302861,335375,Ralph R McKee Career and Technical Education High School,Staten Island,103011855,NY
360010302883,335405,Tottenville High School,Staten Island,103124299,NY
360010304186,335401,Staten Island Technical High School,Staten Island,103064254,NY
360010305835,335346,College Of Staten Island High School For International Studies,Staten Island,103147869,NY
360010306024,335367,Gaynor McCown Expeditionary Learning School,Staten Island,103147869,NY
360010505602,331081,Buffalo Academy of Science Charter School,Buffalo,142022407,NY
360011903078,330737,East Williamsburg Scholars Academy,Brooklyn,112115002,NY
360011903091,330736,"High School for Enterprise, Business and Technology",Brooklyn,112115002,NY
360011905896,330856,Williamsburg High School of Arts and Technology,Brooklyn,112061203,NY
360011906033,330463,Young Womens Leadership School Of Brooklyn,Brooklyn,112063404,NY
360012000813,330678,East New York Family Academy,Brooklyn,11207,NY
360012005718,330846,Performing Arts and Technology High School,Brooklyn,112074707,NY
360012006045,331046,Brooklyn Lab School,Brooklyn,112081503,NY
360012006046,331086,Academy of Innovative Technology High School,Brooklyn,112081503,NY
360012105242,330900,Teacher's Preparatory School,Brooklyn,112125641,NY
360012105994,331048,Aspirations Diploma Plus High School,Brooklyn,112251401,NY
360012202014,331929,John Bowne High School,Flushing,113671303,NY
360012204485,331934,Townsend Harris High School,Flushing,113671306,NY
360012205830,331949,Queens School of Inquiry,Flushing,113661032,NY
360012205869,331921,World Journalism Preparatory School,Flushing,113581926,NY
360012205879,331939,East West School of International Studies,Flushing,113554134,NY
360012206434,331917,Veritas Academy,Flushing,113543405,NY
360012302013,334392,John Adams High School,Ozone Park,114172228,NY
360012302863,334735,Richmond Hill High School,Richmond Hill,114183096,NY
360012305831,334873,The Scholars' Academy,Rockaway Park,116942782,NY
360012305899,334656,"High School for Construction Trades, Engineering and Architecture",Jamaica,114161722,NY
360012305999,334654,"Queens High School for Information, Research, and Technology",Far Rockaway,116911800,NY
360012306047,334393,Robert H Goddard High School,Ozone Park,114172730,NY
360012306194,334872,Rockaway Park High School For Environmental Sustainability,Rockaway Park,116942818,NY
360014705821,330489,Uncommon Charter High School,Brooklyn,112163204,NY
360015101916,330743,High School of Telecommunication Arts and Technology,Brooklyn,112205301,NY
360015101947,330713,Franklin D Roosevelt High School,Brooklyn,112042098,NY
360015102036,330785,New Utrecht High School,Brooklyn,112141699,NY
360015201906,330550,Abraham Lincoln High School,Brooklyn,112357962,NY
360015201943,330686,Edward R Murrow High School,Brooklyn,112304419,NY
360015202888,330903,William E Grady Vocational-Technical High School,Brooklyn,112356706,NY
360015203107,330634,Brooklyn Studio Secondary School,Brooklyn,112142406,NY
360015204312,330746,John Dewey High School,Brooklyn,112235799,NY
360015205826,330974,Rachel Carson Hs-Coastal Study,Brooklyn,112244220,NY
360015205827,330939,High School of Sports Management,Brooklyn,112144443,NY
360015300871,330752,Leon M Goldstein High School for Sciences,Brooklyn,112352325,NY
360015302009,330745,James Madison High School,Brooklyn,112292409,NY
360015302032,330775,Midwood High School,Brooklyn,112102151,NY
360015805847,333404,Democracy Preparatory Charter High School,New York,100303002,NY
360016505889,330978,Hyde Leadership Charter School,Bronx,104746006,NY
360099706131,330051,Academy Charter School,Hempstead,115501314,NY
360103606225,333666,Renaissance Charter High School for Innovation,New York,100296604,NY
360107206365,331093,New Visions Charter High Advanced Math & Science II,Bronx,104567411,NY
360108701283,332505,Central Valley Academy,Ilion,133572541,NY
360108806425,331139,New Visions Advanced Math And Science III,Brooklyn,112351232,NY
360109406404,330048,Unity Preparatory Charter School of Brooklyn,Brooklyn,11211,NY
360292000061,335225,Amherst Central High School,Amherst,142263595,NY
360303000077,330185,Andover Central School,Andover,148069425,NY
360318000080,330210,Ardsley High School,Ardsley,105021400,NY
360327000088,334620,Arlington High School,Lagrangeville,125405002,NY
360372000121,330285,Babylon Junior-Senior High School,Babylon,117022221,NY
360384000128,330295,Baldwin High School,Baldwin,115102436,NY
360387000140,330300,Charles W Baker High School,Baldwinsville,130272481,NY
360393000149,330305,Ballston Spa High School,Ballston Spa,120203691,NY
360411000173,330345,Bayport-Blue Point High School,Bayport,117051720,NY
360429000185,334540,Beekmantown High School,West Chazy,129922562,NY
360471000211,331595,Bethlehem Central High School,Delmar,120542499,NY
360474000217,330420,Bethpage High School,Bethpage,117141595,NY
360531000264,330500,Brewster High School,Brewster,105092715,NY
360534000268,330505,Briarcliff High School,Briarcliff,105101922,NY
360546000272,334775,Brighton High School,Rochester,146182299,NY
360558000285,330525,Brockport High School,Brockport,144202296,NY
360564000291,330540,Bronxville High School,Bronxville,107084822,NY
360585000308,331004,City Honors School at FMP,Buffalo,142041043,NY
360585000315,331060,McKinley High School,Buffalo,142073004,NY
360585000348,331121,Frederick Law Olmsted School,Buffalo,142153327,NY
360585000378,331120,South Park High School,Buffalo,142201552,NY
360585005857,331021,"Math, Science, and Technology Preparatory School at Seneca",Buffalo,142153014,NY
360594000384,331140,Burnt Hills-Ballston Lake High School,Burnt Hills,120279598,NY
360606000389,330225,Byram Hills High School,Armonk,105042511,NY
360650000434,334632,Spackenkill High School,Poughkeepsie,126035099,NY
360663000446,331250,Carthage Central High School,Carthage,136199599,NY
360678000466,331280,Cazenovia High School,Cazenovia,130351098,NY
360684000470,331285,Center Moriches High School,Ctr Moriches,119342229,NY
360687000473,331290,Central Islip High School,Central Islip,117222026,NY
360732000524,335528,Westhill High School,Syracuse,132193391,NY
360747000531,331370,Chittenango Senior High School,Chittenango,130371733,NY
360753000536,331375,Churchville-Chili Senior High School,Churchville,144289799,NY
360801000573,331437,Cold Spring Harbor Junior-Senior High School,Cold Spg Hbr,117241799,NY
360813000580,331453,Commack High School,Commack,117251297,NY
360816000597,330449,Connetquot High School,Bohemia,117161331,NY
360849000656,331540,Coxsackie Athens High School,Coxsackie,120511199,NY
360858000659,331550,Croton-Harmon High School,Croton Hdsn,105202333,NY
360903000689,331600,Depew High School,Depew,140434398,NY
360909000697,331615,Jamesville-Dewitt High School,Dewitt,132140606,NY
360912000702,331630,Dobbs Ferry High School,Dobbs Ferry,105221193,NY
360954000726,331685,East Aurora High School,East Aurora,140523098,NY
360966000736,331700,East Hampton High School,East Hampton,119372597,NY
360972000747,331705,East Islip High School,Islip Terrace,117522898,NY
360984000756,331715,East Meadow High School,East Meadow,115541145,NY
360984000761,335877,W Tresper Clarke High School,Westbury,115905409,NY
360999000772,331750,East Syracuse Minoa Central High School,East Syracuse,130579409,NY
361005000781,334293,Wheatley School,Old Westbury,115681599,NY
361008000785,335630,Eastchester High School,Eastchester,107095505,NY
361020004509,335085,Edgemont High School,Scarsdale,105831726,NY
361068000843,332489,Elwood-John Glenn High School,Elwood,117314890,NY
361071000854,331850,Union Endicott High School,Endicott,137605271,NY
361089000860,331870,Fairport High School,Fairport,144508939,NY
361098000877,331880,Farmingdale High School,Farmingdale,117355799,NY
361155000914,332000,Freeport High School,Freeport,115203144,NY
361167000925,332225,Frontier Senior High School,Hamburg,140751335,NY
361174000940,332958,Ruben A Cirillo High School,Walworth,145689600,NY
361176000942,332040,Garden City High School,Garden City,115301499,NY
361218000974,332095,Glen Cove High School,Glen Cove,115421296,NY
361251001016,332170,Jl Miller-Great Neck North High School,Great Neck,110231044,NY
361251001018,332172,Great Neck South High School,Great Neck,110201603,NY
361263001031,334802,Greece Arcadia High School,Rochester,146123626,NY
361263001032,334801,Athena High School,Rochester,146123012,NY
