Name,Rank,Year,Company Founding Year,Company Name,Company Relationship,Company Sector,Company Type,Age,Gender,Citizenship,Country of Residence,Region,Type Of Wealth,Net Worth In Billions,Wealth Category,Wealth Industry,Wealth Inherited
Ivan Glasenberg,215,2014,1974,Glencore Xstrata,CEO,mining,new,57,male,Australia,AUS,North America,privatized and resources,6.3,Resource Related,Mining and metals,not inherited
Milane Frantz,215,2014,1968,Enterprise Products,relation,natural gas,new,44,female,United States,USA,North America,inherited,6.3,Traded Sectors,Non-consumer industrial,father
Paolo & Gianfelice Mario Rocca,215,2014,1945,Techint,relation,steel,new,Unknown,male,Italy,ITA,Europe,inherited,6.3,Traded Sectors,Non-consumer industrial,3rd generation
Patrick Drahi,215,2014,1994,Altice,founder,telecommunications,new,50,male,France,FRA,Europe,founder non-finance,6.3,Non-Traded Sectors,Media,not inherited
Randa Williams,215,2014,1968,Enterprise Products,relation,natural gas,new,52,female,United States,USA,North America,inherited,6.3,Traded Sectors,Non-consumer industrial,father
Scott Duncan,215,2014,1968,Enterprise Products,relation,natural gas,new,31,male,United States,USA,North America,inherited,6.3,Traded Sectors,Non-consumer industrial,father
William Wrigley,216,1996,1891,Wm Wrigley Jr. Company,relation,gum,new,32,male,United States,USA,North America,inherited,1.9,Traded Sectors,Consumer,4th generation
John Simplot,217,1996,1929,J.R. Simplot Company,founder,agricultural products,new,87,male,United States,USA,North America,founder non-finance,1.9,Traded Sectors,Consumer,not inherited
Kerry Packer,218,1996,1936,Consolidated Press Holdings Limited,relation,media,aquired,58,male,Australia,AUS,North America,inherited,1.8,Non-Traded Sectors,Media,3rd generation
Hasso Plattner,219,1996,1972,SAP AG,founder,software,new,52,male,Germany,DEU,Europe,founder non-finance,1.8,New Sectors,Technology-Computer,not inherited
Hugo Mann,220,1996,1938,Mann Mobilia,founder,furniture,new,82,male,Germany,DEU,Europe,founder non-finance,1.8,Non-Traded Sectors,"Retail, Restaurant",not inherited
Lee Hon Chiu,221,1996,1920,Hysan Development,relation,real estate,new,Unknown,male,Hong Kong,HKG,East Asia,inherited,1.8,Financial,Real Estate,father
Lorenzo Rossi di Montelera,222,1996,1863,Martini & Rossi,relation,beverages,new,Unknown,male,Italy,ITA,Europe,inherited,1.8,Traded Sectors,Consumer,4th generation
Abdullah Al Rajhi,222,2001,1957,Al Rajhi bank,founder,Banking,new,Unknown,male,Saudi Arabia,SAU,Middle East/North Africa,self-made finance,2.1,Financial,Money Management,not inherited
Achille Maramotti,222,2001,1951,MaxMara,founder,fashion,new,74,male,Italy,ITA,Europe,founder non-finance,2.1,Traded Sectors,Consumer,not inherited
Adolf Merckle,222,2001,1881,Ratiopharm,relation,pharmaceuticals,new,66,male,Germany,DEU,Europe,inherited,2.1,New Sectors,Technology-Medical,4th generation
Adrian Swire,222,2001,1816,Swire,relation,trading company,new,70,male,United Kingdom,GBR,Europe,inherited,2.1,Financial,Diversified financial,4th generation
Charles Johnson,222,2001,1947,Franklin Resources,relation,mutal funds,new,68,male,United States,USA,North America,inherited,2.1,Financial,Money Management,father
Edmund Wattis Littlefield,222,2001,1900,Utah Contstruction Company,relation,construction,new,Unknown,male,United States,USA,North America,inherited,2.1,Resource Related,Mining and metals,3rd generation
Ernest Stempel,222,2001,1919,AIG,chairman,insurance,new,84,male,Bermuda,BMU,0,executive,2.1,New Sectors,Technology-Medical,not inherited
John Dorrance,222,2001,1869,Campbell Soup,relation,soup,aquired,57,male,Ireland,IRL,Europe,inherited,2.1,Traded Sectors,Consumer,3rd generation
Louis Gonda,222,2001,1973,ILFC,founder,aircraft leasing,new,52,male,United States,USA,North America,founder non-finance,2.1,Traded Sectors,Consumer,not inherited
Sammy Ofer,222,2001,1950,Zodiac Maritime Agencies,relation,shipping,new,Unknown,male,Israel,ISR,Middle East/North Africa,inherited,2.1,Traded Sectors,Consumer,father
Sergio Mantegazza,222,2001,1928,Globus,relation,travel company,new,73,male,Switzerland,CHE,Europe,inherited,2.1,0,Other,father
Steven Spielberg,222,2001,1994,DreamWorks,founder,movies,new,54,male,United States,USA,North America,founder non-finance,2.1,Non-Traded Sectors,Media,not inherited
Edmond Safra,223,1996,1955,Banco Safra (now Saftra Group),founder,banking,new,Unknown,male,Lebanon,LBN,Middle East/North Africa,self-made finance,1.8,Financial,Money Management,not inherited
Teh Hong Piow,224,1996,1966,Public Bank,founder,banking,new,56,male,Malaysia,MYS,East Asia,self-made finance,1.8,Financial,Money Management,not inherited
"Rupert Johnson, Jr.",224,2014,1947,Franklin Resources,relation,mutal funds,new,72,male,United States,USA,North America,inherited,6.2,Financial,Money Management,father
S. Truett Cathy,224,2014,1946,Chick-fil-A,founder,restaurants,new,92,male,United States,USA,North America,founder non-finance,6.2,Non-Traded Sectors,"Retail, Restaurant",not inherited
Sumner Redstone,224,2014,1936,National Amusements,relation,media,new,90,male,United States,USA,North America,inherited,6.2,Non-Traded Sectors,Media,father
Alberto Bailleres Gonzalez,225,1996,1960,Penoles,relation,mining,privatization,63,male,Mexico,MEX,Latin America,inherited,1.8,Resource Related,Mining and metals,father
Huang Shi-hui,226,1996,1903,Chinfon Group,relation,automobiles,new,Unknown,male,Taiwan,Taiwan,East Asia,inherited,1.8,Traded Sectors,Consumer,3rd generation
Moores family,227,1996,1932,Littlewoods,Unknown,retail,new,Unknown,Unknown,United Kingdom,GBR,Europe,inherited,1.8,Non-Traded Sectors,"Retail, Restaurant",father
David Geffen,227,2014,1970,Asylum Records/Geffen Records/Dreamworks,founder,entertainment,new,71,male,United States,USA,North America,founder non-finance,6.1,Non-Traded Sectors,Media,not inherited
Iskander Makhmudov,227,2014,1999,Ural Mining and Metallurgical Company,founder,mining,new,50,male,Russia,RUS,Europe,privatized and resources,6.1,Resource Related,Mining and metals,not inherited
Lucio Tan,227,2014,1982,Asia Brewery,founder,beverages,new,79,male,Philippines,PHL,East Asia,privatized and resources,6.1,Financial,Diversified financial,not inherited
Pyotr Aven,227,2014,1989,Alfa Group,chairman of the board,financial services,new,58,male,Russia,RUS,Europe,privatized and resources,6.1,Resource Related,Energy,not inherited
Richard LeFrak,227,2014,1883,LeFrack ,relation,real estate,new,68,male,United States,USA,North America,inherited,6.1,Financial,Real Estate,4th generation
Sandra Ortega Mera,227,2014,1975,Zara,relation,clothing,new,45,female,Spain,ESP,Europe,inherited,6.1,Traded Sectors,Consumer,father
"Thomas Frist, Jr.",227,2014,1968,Hostpital Corporation of America,founder/relation,hospitals,new,75,male,United States,USA,North America,founder non-finance,6.1,New Sectors,Technology-Medical,not inherited
Bennett Dorrance,228,1996,1869,Campbell Soup,relation,soup,aquired,63,male,United States,USA,North America,inherited,1.8,Traded Sectors,Consumer,3rd generation
Stanley Hubbard,229,1996,1925,Hubbard Broadcasting Inc,owner,media,new,62,male,United States,USA,North America,executive,1.8,Non-Traded Sectors,Media,not inherited
Eliodoro Matte,230,1996,1920,CMPC,relation,timber and paper,new,50,male,Chile,CHL,Latin America,inherited,1.7,Traded Sectors,Consumer,father
Goulandris family,231,1996,0,Fitzwilton,Unknown,shipping,Unknown,Unknown,Unknown,Greece,GRC,Europe,inherited,1.7,Financial,Money Management,not inherited
John Dorrance,232,1996,1869,Campbell Soup,relation,soup,aquired,52,male,Ireland,IRL,Europe,inherited,1.7,Traded Sectors,Consumer,3rd generation
Masakuni Osano,233,1996,1960,Kyo-Ya Company,president,real estate,new,Unknown,male,Japan,JPN,East Asia,self-made finance,1.7,Financial,Real Estate,not inherited
Ingvar Kamprad,234,1996,1943,IKEA,founder,furniture,new,69,male,Sweden,SWE,Europe,founder non-finance,1.7,Non-Traded Sectors,"Retail, Restaurant",not inherited
Antonio Champalimaud,234,2001,1923,Maceira Liz,relation,cement,new,82,male,Portugal,PRT,Europe,inherited,2,Financial,Money Management,father
Ayhan Sahenk,234,2001,1951,Dogus Holding,founder,construction,new,Unknown,male,Turkey,TUR,Middle East/North Africa,self-made finance,2,Financial,Money Management,not inherited
Edward Gaylord,234,2001,1975,Gaylord Entertainment Company,founder,media,new,Unknown,male,United States,USA,North America,founder non-finance,2,Non-Traded Sectors,Media,not inherited
Fayez Sarofim,234,2001,1958,Fayez Sarofim & Co,relation,money management,new,72,male,United States,USA,North America,self-made finance,2,Financial,Money Management,not inherited
Gary Winnick,234,2001,1997,Global Crossing limited,founder,fiber optic cables,new,Unknown,male,United States,USA,North America,self-made finance,2,Financial,Money Management,not inherited
Georg Thyssen-Bornemisza,234,2001,1926,TBG (Thyssen-Bornemisza Group) Holdings,relation,steel,new,Unknown,male,Switzerland,CHE,Europe,inherited,2,Traded Sectors,Non-consumer industrial,3rd generation
Hubert Burda,234,2001,1898,Hubert Burda Media,relation,media,new,61,male,Germany,DEU,Europe,inherited,2,Non-Traded Sectors,Media,father
