Budget,Company,Country,Director,Genre,Gross,Name,Rating,Released,Runtime,Score,Star,Votes,Writer,Year
125000000,Color Force,USA,Francis Lawrence,Action,337135885,The Hunger Games: Mockingjay - Part 1,PG-13,November,123,6.7,Jennifer Lawrence,341715,Peter Craig,2014
44000000,Columbia Pictures,USA,Evan Goldberg,Comedy,6105175,The Interview,R,December,112,6.6,James Franco,267070,Dan Sterling,2014
90000000,Lionsgate,USA,Patrick Hughes,Action,39322544,The Expendables 3,PG-13,August,126,6.1,Sylvester Stallone,141488,Sylvester Stallone,2014
3300000,Corner Producciones,Argentina,Damián Szifron,Comedy,3107072,Relatos salvajes,R,December,122,8.1,Darío Grandinetti,118272,Damián Szifron,2014
25000000,Asis Productions,South Africa,Phillip Noyce,Drama,45089048,El dador de recuerdos,PG-13,August,97,6.5,Brenton Thwaites,96205,Michael Mitnick,2014
1600000,Unison Films,New Zealand,Jemaine Clement,Comedy,3333000,Entrevista con unos vampiros,R,February,86,7.6,Jemaine Clement,90970,Jemaine Clement,2014
110000000,Warner Bros.,USA,Noam Murro,Action,106580051,300: Rise of an Empire,R,March,102,6.2,Sullivan Stapleton,242932,Zack Snyder,2014
8000000,Broad Green Pictures,USA,Ramin Bahrani,Drama,1410915,99 Homes,R,October,112,7.1,Andrew Garfield,22416,Ramin Bahrani,2014
0,BBC Films,UK,James Kent,Biography,1822030,Testament of Youth,PG-13,January,129,7.3,Alicia Vikander,19225,Vera Brittain,2014
0,Screen Australia,Australia,Michael Spierig,Drama,68372,Predestination,R,January,97,7.5,Ethan Hawke,195819,Michael Spierig,2014
40000000,Twentieth Century Fox Film Corporation,USA,Nick Cassavetes,Comedy,83911193,The Other Woman,PG-13,April,109,6,Cameron Diaz,113167,Melissa Stack,2014
160000000,Warner Bros.,USA,Gareth Edwards,Action,200676069,Godzilla,PG-13,May,123,6.4,Aaron Taylor-Johnson,323734,Max Borenstein,2014
50000000,Lucamar Productions,USA,Rob Marshall,Adventure,128002372,Into the Woods,PG,December,125,6,Anna Kendrick,112609,James Lapine,2014
11000000,Aldamisa Entertainment,USA,Jon Favreau,Comedy,30640336,Chef,R,May,114,7.3,Jon Favreau,156375,Jon Favreau,2014
140000000,Chernin Entertainment,UK,Ridley Scott,Action,65014513,Exodus: Gods and Kings,PG-13,December,150,6,Christian Bale,140323,Adam Cooper,2014
0,Canyon Creek Films,Germany,Christian Ditter,Comedy,14893,Tal vez es para siempre,R,April,102,7.2,Lily Collins,85099,Juliette Towhidi,2014
40000000,Bluegrass Films,USA,Seth MacFarlane,Comedy,43139300,A Million Ways to Die in the West,R,May,116,6.1,Seth MacFarlane,147947,Seth MacFarlane,2014
65000000,Aldamisa Entertainment,USA,Frank Miller,Crime,13757804,Sin City: A Dame to Kill For,R,August,102,6.5,Mickey Rourke,126091,Frank Miller,2014
70000000,Universal Pictures,USA,Gary Shore,Action,56280355,Dracula Untold,PG-13,October,92,6.3,Luke Evans,152210,Matt Sazama,2014
65000000,3 Arts Entertainment,USA,Angelina Jolie,Biography,115637895,Unbroken,PG-13,December,137,7.2,Jack O'Connell,117590,Joel Coen,2014
95000000,Beijing Skywheel Entertainment Co.,USA,Sergei Bodrov,Action,17223265,Seventh Son,PG-13,February,102,5.5,Ben Barnes,61441,Charles Leavitt,2014
1000000,Bazelevs Production,USA,Levan Gabriadze,Drama,31537320,Unfriended,R,April,83,5.6,Heather Sossaman,52922,Nelson Greaves,2014
48000000,EuropaCorp,France,Olivier Megaton,Action,89256424,Búsqueda implacable 3,PG-13,January,109,6,Liam Neeson,149069,Luc Besson,2014
40000000,Gulfstream Pictures,USA,Frank Coraci,Comedy,46294610,Blended,PG-13,May,117,6.5,Adam Sandler,96218,Ivan Menchell,2014
26000000,DiNovi Pictures,USA,Michael Hoffman,Drama,26761283,The Best of Me,PG-13,October,118,6.7,James Marsden,51322,J. Mills Goodloe,2014
4000000,IFC Productions,USA,Richard Linklater,Drama,25379975,Boyhood,R,August,165,7.9,Ellar Coltrane,293068,Richard Linklater,2014
65000000,Marcy Media,USA,Will Gluck,Comedy,85911262,Annie,PG,December,118,5.3,Quvenzhané Wallis,28204,Will Gluck,2014
40000000,Columbia Pictures,USA,Jake Kasdan,Comedy,38543473,Sex Tape,R,July,94,5.1,Jason Segel,92074,Kate Angelo,2014
20000000,Ghoulardi Film Company,USA,Paul Thomas Anderson,Comedy,8110975,Inherent Vice,R,January,148,6.7,Joaquin Phoenix,72027,Paul Thomas Anderson,2014
1000000,Fewlas Entertainment,USA,Leigh Janiak,Horror,9168,Honeymoon,R,September,87,5.7,Rose Leslie,20262,Phil Graziadei,2014
